2 22782  82.5492  35.3693 0022422 170.2081 189.9520 13.82987441  7135
1 22782U 93055A   93295.70674453 0.00000064  00000+0  45368-4 0  2045
2 22782  82.5491  34.6238 0022429 167.7063 192.4649 13.82987732  7267
1 22782U          93296.28552793 0.00000060  00000+0  49492-4 0  2058
2 22782  82.5491  34.1652 0022426 166.1220 194.0561 13.82987872  7342
1 22782U 93055A   93296.86431154 0.00000067  00000+0  47621-4 0  2050
2 22782  82.5494  33.7071 0022457 164.4713 195.7144 13.82987916  7420
1 22782U 93055A   93297.87718606 0.00000061  00000+0  42782-4 0  2059
2 22782  82.5498  32.9052 0022506 161.7139 198.4832 13.82987950  7568
1 22782U 93055A   93299.32414879 0.00000068  00000+0  48964-4 0  2062
2 22782  82.5498  31.7589 0022511 157.7081 202.5061 13.82988230  7762
1 22782U 93055A   93299.75823598 0.00000067  00000+0  47946-4 0  2069
2 22782  82.5499  31.4151 0022540 156.4830 203.7365 13.82988260  7825
1 22782U 93055A   93300.77110905 0.00000082  00000+0  62076-4 0  2120
2 22782  82.5498  30.6129 0022328 153.5782 206.6520 13.82988431  7968
1 22782U          93302.79685344 0.00000092  00000+0  78975-4 0  2076
2 22782  82.5500  29.0086 0022473 147.9126 212.3406 13.82988947  8247
1 22782U 93055A   93303.73737655 0.00000092  00000+0  71416-4 0  2316
2 22782  82.5501  28.2635 0022563 145.3086 214.9551 13.82989013  8374
1 22782U 93055A   93304.75024971 0.00000096  00000+0  75065-4 0  2395
2 22782  82.5501  27.4612 0022582 142.5279 217.7460 13.82989230  8511
1 22782U 93055A   93305.69077331  .00000097  00000-0  83607-4 0  2086
2 22782  82.5501  26.7162 0022599 139.9349 220.3485 13.82989496  8644
1 22782U 93055A   93305.90781719 0.00000098  00000+0  76289-4 0  2091
2 22782  82.5505  26.5448 0022674 139.2013 221.0842 13.82989456  8661
1 22782U          93306.26955694 0.00000097  00000+0  83041-4 0  2086
2 22782  82.5505  26.2583 0022645 138.2939 221.9953 13.82989605  8727
1 22782U 93055A   93306.77599268 0.00000103  00000+0  81534-4 0  2189
